subid,counter,trialtype,percentage,colorasked,searchtype,targetshape,targetcolor,targetword,distractorshape1,distractorshape2,distractorcolor,date,timestamp,rtsearch,rttest,targetpos,foilpos,attncheckscore
79,1,2,50,true,contrast,9,green,wug,1,23,red,6/16/2019,15:23,12218,15560,3,4,"0
"
79,2,1,50,false,contrast,18,green,dax,12,4,purple,6/16/2019,15:23,10524,6879,3,4,"0
"
79,3,3,100,false,polychrome,16,purple,blicket,20,22,blue,6/16/2019,15:23,11886,5646,3,2,"0
"
79,4,6,50,true,monochrome,2,purple,gade,14,15,green,6/16/2019,15:24,9247,4878,4,2,"0
"
79,5,4,50,true,polychrome,13,green,toma,21,24,purple,6/16/2019,15:24,8063,5575,3,2,"0
"
79,6,5,50,false,monochrome,8,red,sprock,7,11,green,6/16/2019,15:24,11452,2543,4,1,"0
"
79,7,0,50,false,attncheck,8,red,sprock,7,11,green,6/16/2019,15:24,11452,2543,4,1,"5
"
67,1,1,100,false,contrast,16,red,wug,3,20,green,6/16/2019,16:39,16674,8347,4,3,"0
"
67,2,6,50,true,monochrome,9,red,toma,5,2,green,6/16/2019,16:39,12104,7642,3,2,"0
"
67,3,5,100,false,monochrome,10,green,gade,14,12,red,6/16/2019,16:40,10916,6461,4,1,"0
"
67,4,2,50,true,contrast,6,green,blicket,1,7,red,6/16/2019,16:40,10757,3705,3,4,"0
"
67,5,3,100,false,polychrome,17,red,dax,11,19,green,6/16/2019,16:40,9775,4886,4,2,"0
"
67,6,4,50,true,polychrome,24,green,sprock,8,21,red,6/16/2019,16:40,8849,5419,4,1,"0
"
67,7,0,50,true,attncheck,24,green,sprock,8,21,red,6/16/2019,16:40,8849,5419,4,1,"8
"
31,1,6,60,true,monochrome,17,green,wug,6,9,purple,6/16/2019,16:21,13172,18031,3,2,"0
"
31,2,2,80,true,contrast,21,red,toma,24,16,purple,6/16/2019,16:21,7836,10020,3,4,"0
"
31,3,4,75,true,polychrome,10,blue,sprock,1,12,red,6/16/2019,16:21,11285,6470,3,1,"0
"
31,4,5,50,false,monochrome,4,red,gade,7,23,green,6/16/2019,16:22,9299,7782,4,1,"0
"
31,5,3,60,false,polychrome,13,purple,blicket,11,5,red,6/16/2019,16:22,8060,4624,3,1,"0
"
31,6,1,80,false,contrast,22,blue,dax,3,2,green,6/16/2019,16:22,9311,11018,3,4,"0
"
31,7,0,80,false,attncheck,22,blue,dax,3,2,green,6/16/2019,16:22,9311,11018,3,4,"6
"
101,1,4,62,true,polychrome,21,purple,dax,18,6,blue,6/16/2019,16:22,11725,6729,4,2,"0
"
101,2,1,49,false,contrast,11,red,toma,23,7,green,6/16/2019,16:22,7361,3362,3,4,"0
"
101,3,5,50,false,monochrome,14,blue,wug,3,19,purple,6/16/2019,16:22,7410,3136,3,2,"0
"
101,4,2,56,true,contrast,9,red,sprock,4,22,blue,6/16/2019,16:22,7501,2526,4,3,"0
"
101,5,6,49,true,monochrome,5,purple,blicket,20,17,red,6/16/2019,16:23,7037,3013,3,1,"0
"
101,6,3,48,false,polychrome,12,red,gade,8,15,blue,6/16/2019,16:23,6546,2006,4,2,"0
"
101,7,0,48,false,attncheck,12,red,gade,8,15,blue,6/16/2019,16:23,6546,2006,4,2,"7
"
64,1,3,15,false,polychrome,12,red,toma,1,14,green,6/16/2019,13:30,10344,6151,4,1,"0
"
64,2,6,70,true,monochrome,17,red,sprock,22,4,blue,6/16/2019,13:30,10126,5110,3,1,"0
"
64,3,1,90,false,contrast,5,red,gade,9,3,green,6/16/2019,13:30,11471,5373,4,3,"0
"
64,4,5,90,false,monochrome,19,blue,dax,2,21,red,6/16/2019,13:30,7292,6174,3,1,"0
"
64,5,4,60,true,polychrome,20,blue,blicket,24,13,purple,6/16/2019,13:31,7021,6260,4,2,"0
"
64,6,2,90,true,contrast,16,green,wug,18,8,purple,6/16/2019,13:31,7087,3989,4,3,"0
"
64,7,0,90,true,attncheck,16,green,wug,18,8,purple,6/16/2019,13:31,7087,3989,4,3,"6
"
34,1,1,36,false,contrast,24,blue,blicket,23,10,red,6/16/2019,16:26,13637,17006,3,4,"0
"
34,2,3,89,false,polychrome,15,purple,toma,8,22,blue,6/16/2019,16:27,11020,9180,4,2,"0
"
