subid,counter,trialtype,percentage,sizeasked,searchtype,targetshape,targetcolor,targetsize,targetword,distractorshape1,distractorshape2,distractorsize,date,timestamp,rtsearch,rttest,targetpos,foilpos,attncheckscore
5,1,1,25,false,contrast,23,red,big,wug,21,17,small,6/16/2019,16:18,12707,16771,3,4,"0
"
5,2,4,50,true,differentsizes,5,purple,big,sprock,11,1,small,6/16/2019,16:18,11185,6193,3,1,"0
"
5,3,3,50,false,differentsizes,10,blue,big,dax,3,6,small,6/16/2019,16:18,13123,2731,3,2,"0
"
5,4,2,50,true,contrast,22,blue,small,toma,12,20,big,6/16/2019,16:19,8728,4706,4,3,"0
"
5,5,6,25,true,samesize,2,red,big,blicket,16,15,small,6/16/2019,16:19,12474,6260,4,1,"0
"
5,6,5,25,false,samesize,4,green,small,gade,9,8,big,6/16/2019,16:19,7512,4079,3,1,"0
"
5,7,0,25,false,attncheck,4,green,small,gade,9,8,big,6/16/2019,16:19,7512,4079,3,1,"8
"
101,1,3,25,false,differentsizes,1,red,small,dax,18,3,big,6/16/2019,16:23,20966,16963,4,1,"0
"
101,2,1,50,false,contrast,10,purple,small,blicket,7,21,big,6/16/2019,16:24,16360,16044,3,4,"0
"
101,3,2,50,true,contrast,4,purple,small,sprock,22,23,big,6/16/2019,16:24,13636,12257,4,3,"0
"
101,4,6,50,true,samesize,9,purple,small,wug,12,17,big,6/16/2019,16:24,11122,6300,3,2,"0
"
101,5,4,50,true,differentsizes,24,purple,big,toma,2,14,small,6/16/2019,16:25,9099,7264,4,1,"0
"
101,6,5,50,false,samesize,8,blue,big,gade,11,20,small,6/16/2019,16:25,8703,7812,3,2,"0
"
101,7,0,50,false,attncheck,8,blue,big,gade,11,20,small,6/16/2019,16:25,8703,7812,3,2,"7
"
38,1,4,67,true,differentsizes,17,blue,big,toma,10,15,small,6/16/2019,15:23,21545,15124,4,2,"0
"
38,2,3,81,false,differentsizes,6,purple,big,gade,14,2,small,6/16/2019,15:23,10835,6707,4,1,"0
"
38,3,6,66,true,samesize,20,green,big,sprock,22,5,small,6/16/2019,15:23,9574,4293,4,1,"0
"
38,4,5,57,false,samesize,4,purple,big,wug,13,7,small,6/16/2019,15:24,10000,5357,3,1,"0
"
38,5,1,50,false,contrast,8,green,small,blicket,11,19,big,6/16/2019,15:24,9327,4561,3,4,"0
"
38,6,2,25,true,contrast,23,green,small,dax,24,3,big,6/16/2019,15:24,10435,7176,3,4,"0
"
38,7,0,25,true,attncheck,23,green,small,dax,24,3,big,6/16/2019,15:24,10435,7176,3,4,"6
"
102,1,4,14,true,differentsizes,4,red,big,blicket,1,11,small,6/16/2019,16:24,15467,9248,4,2,"0
"
102,2,6,22,true,samesize,3,red,big,toma,12,18,small,6/16/2019,16:24,12404,4357,3,2,"0
"
102,3,5,71,false,samesize,9,purple,big,dax,17,7,small,6/16/2019,16:24,9090,6181,3,1,"0
"
102,4,2,22,true,contrast,22,blue,small,gade,14,8,big,6/16/2019,16:24,8042,4159,4,3,"0
"
102,5,1,76,false,contrast,5,purple,small,wug,23,13,big,6/16/2019,16:25,10185,3882,4,3,"0
"
